date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,property_age,is_renovated,sqft_living_scaled,sqft_lot_scaled,sqft_above_scaled,sqft_basement_scaled,property_age_scaled
2014-05-02 00:00:00,313000.0,3.0,1.5,1340,7912.0,1.5,0,0,3,1340,0.0,1955,2005,18810 Densmore Ave N,Shoreline,WA 98133,USA,59,1,-0.847,-0.1901,-0.565,-0.665,0.5303
2014-05-02 00:00:00,2384000.0,5.0,2.5,3650,9050.0,2.0,0,4,5,3370,280.0,1921,0,709 W Blaine St,Seattle,WA 98119,USA,93,0,1.6724,-0.1584,1.8687,-0.0395,1.6728
2014-05-02 00:00:00,342000.0,3.0,2.0,1930,11947.0,1.0,0,0,4,1930,0.0,1966,0,26206-26214 143rd Ave SE,Kent,WA 98042,USA,48,0,-0.2035,-0.0776,0.1424,-0.665,0.1607
2014-05-02 00:00:00,420000.0,3.0,2.25,2000,8030.0,1.0,0,0,4,1000,1000.0,1963,0,857 170th Pl NE,Bellevue,WA 98008,USA,51,0,-0.1272,-0.1868,-0.9726,1.569,0.2615
2014-05-02 00:00:00,550000.0,4.0,2.5,1940,10500.0,1.0,0,0,4,1140,800.0,1976,1992,9105 170th Ave NE,Redmond,WA 98052,USA,38,1,-0.1926,-0.118,-0.8047,1.1222,-0.1754
2014-05-02 00:00:00,490000.0,2.0,1.0,880,6380.0,1.0,0,0,3,880,0.0,1938,1994,522 NE 88th St,Seattle,WA 98115,USA,76,1,-1.3487,-0.2328,-1.1165,-0.665,1.1016
2014-05-02 00:00:00,335000.0,2.0,2.0,1350,2560.0,1.0,0,0,3,1350,0.0,1976,0,2616 174th Ave NE,Redmond,WA 98052,USA,38,0,-0.8361,-0.3394,-0.553,-0.665,-0.1754
2014-05-02 00:00:00,482000.0,4.0,2.5,2710,35868.0,2.0,0,0,3,2710,0.0,1989,0,23762 SE 253rd Pl,Maple Valley,WA 98038,USA,25,0,0.6472,0.5894,1.0775,-0.665,-0.6122
2014-05-02 00:00:00,452500.0,3.0,2.5,2430,88426.0,1.0,0,0,4,1570,860.0,1985,0,46611-46625 SE 129th St,North Bend,WA 98045,USA,29,0,0.3418,2.0548,-0.2892,1.2563,-0.4778
2014-05-02 00:00:00,640000.0,4.0,2.0,1520,6200.0,1.5,0,0,3,1520,0.0,1945,2010,6811 55th Ave NE,Seattle,WA 98115,USA,69,1,-0.6507,-0.2379,-0.3492,-0.665,0.8663
2014-05-02 00:00:00,463000.0,3.0,1.75,1710,7320.0,1.0,0,0,3,1710,0.0,1948,1994,Burke-Gilman Trail,Lake Forest Park,WA 98155,USA,66,1,-0.4435,-0.2066,-0.1214,-0.665,0.7655
2014-05-02 00:00:00,1400000.0,4.0,2.5,2920,4000.0,1.5,0,0,5,1910,1010.0,1909,1988,3838-4098 44th Ave NE,Seattle,WA 98105,USA,105,1,0.8762,-0.2992,0.1184,1.5914,2.0761
2014-05-02 00:00:00,588500.0,3.0,1.75,2330,14892.0,1.0,0,0,3,1970,360.0,1980,0,1833 220th Pl NE,Sammamish,WA 98074,USA,34,0,0.2327,0.0045,0.1903,0.1393,-0.3098
2014-05-02 00:00:00,365000.0,3.0,1.0,1090,6435.0,1.0,0,0,4,1090,0.0,1955,2009,2504 SW Portland Ct,Seattle,WA 98106,USA,59,1,-1.1197,-0.2313,-0.8647,-0.665,0.5303
2014-05-02 00:00:00,1200000.0,5.0,2.75,2910,9480.0,1.5,0,0,3,2910,0.0,1939,1969,3534 46th Ave NE,Seattle,WA 98105,USA,75,1,0.8653,-0.1464,1.3172,-0.665,1.068
2014-05-02 00:00:00,242500.0,3.0,1.5,1200,9720.0,1.0,0,0,4,1200,0.0,1965,0,14034 SE 201st St,Kent,WA 98042,USA,49,0,-0.9997,-0.1397,-0.7328,-0.665,0.1943
2014-05-02 00:00:00,419000.0,3.0,1.5,1570,6700.0,1.0,0,0,4,1570,0.0,1956,0,15424 SE 9th St,Bellevue,WA 98007,USA,58,0,-0.5962,-0.2239,-0.2892,-0.665,0.4967
2014-05-02 00:00:00,367500.0,4.0,3.0,3110,7231.0,2.0,0,0,3,3110,0.0,1997,0,11224 SE 306th Pl,Auburn,WA 98092,USA,17,0,1.0835,-0.2091,1.557,-0.665,-0.881
2014-05-02 00:00:00,257950.0,3.0,1.75,1370,5858.0,1.0,0,0,3,1370,0.0,1987,2000,1605 S 245th Pl,Des Moines,WA 98198,USA,27,1,-0.8143,-0.2474,-0.529,-0.665,-0.545
2014-05-02 00:00:00,275000.0,3.0,1.5,1180,10277.0,1.0,0,0,3,1180,0.0,1983,2009,12425 415th Ave SE,North Bend,WA 98045,USA,31,1,-1.0215,-0.1242,-0.7568,-0.665,-0.4106
2014-05-02 00:00:00,750000.0,3.0,1.75,2240,10578.0,2.0,0,0,5,1550,690.0,1923,0,3225 NE 92nd St,Seattle,WA 98115,USA,91,0,0.1346,-0.1158,-0.3132,0.8765,1.6056
2014-05-02 00:00:00,435000.0,4.0,1.0,1450,8800.0,1.0,0,0,4,1450,0.0,1954,1979,3922 154th Ave SE,Bellevue,WA 98006,USA,60,1,-0.727,-0.1654,-0.4331,-0.665,0.5639
2014-05-02 00:00:00,626000.0,3.0,2.25,1750,1572.0,2.5,0,0,3,1470,280.0,2005,0,3140 Franklin Ave E,Seattle,WA 98102,USA,9,0,-0.3998,-0.3669,-0.4091,-0.0395,-1.1499
2014-05-02 00:00:00,612500.0,4.0,2.5,2730,12261.0,2.0,0,0,3,2730,0.0,1991,0,10212 NE 156th Pl,Bothell,WA 98011,USA,23,0,0.669,-0.0689,1.1015,-0.665,-0.6794
2014-05-02 00:00:00,495000.0,4.0,2.25,1600,6380.0,1.0,0,0,3,1130,470.0,1959,1989,2021 NE 100th St,Seattle,WA 98125,USA,55,1,-0.5634,-0.2328,-0.8167,0.385,0.3959
2014-05-02 00:00:00,285000.0,3.0,2.5,2090,10834.0,1.0,0,0,4,1360,730.0,1987,0,27736 23rd Avenue South,Federal Way,WA 98003,USA,27,0,-0.029,-0.1087,-0.541,0.9659,-0.545
2014-05-02 00:00:00,615000.0,3.0,1.75,2360,7291.0,1.0,0,0,4,1360,1000.0,1948,0,8436-8438 41st Ave SW,Seattle,WA 98136,USA,66,0,0.2655,-0.2074,-0.541,1.569,0.7655
2014-05-02 00:00:00,698000.0,4.0,2.25,2200,11250.0,1.5,0,0,5,1300,900.0,1920,0,1036 4th St,Kirkland,WA 98033,USA,94,0,0.091,-0.0971,-0.6129,1.3456,1.7064
2014-05-02 00:00:00,675000.0,5.0,2.5,2820,67518.0,2.0,0,0,3,2820,0.0,1979,2014,23525 SE 32nd Way,Issaquah,WA 98029,USA,35,1,0.7672,1.4718,1.2093,-0.665,-0.2762
2014-05-02 00:00:00,790000.0,3.0,2.5,2600,4750.0,1.0,0,0,4,1700,900.0,1951,1999,3314 NW 75th St,Seattle,WA 98117,USA,63,1,0.5272,-0.2783,-0.1334,1.3456,0.6647
2014-05-02 00:00:00,382500.0,4.0,1.75,1560,8700.0,1.0,0,0,4,1560,0.0,1967,0,14104 119th Ave NE,Kirkland,WA 98034,USA,47,0,-0.6071,-0.1682,-0.3012,-0.665,0.1271
2014-05-02 00:00:00,499950.0,4.0,2.5,2860,3345.0,2.0,0,0,3,2190,670.0,2004,2003,20120 137th Ave NE,Woodinville,WA 98072,USA,10,1,0.8108,-0.3175,0.4541,0.8318,-1.1163
2014-05-02 00:00:00,650000.0,4.0,2.0,1820,5000.0,1.5,0,1,3,1640,180.0,1945,2010,7201-7399 55th Ave NE,Seattle,WA 98115,USA,69,1,-0.3235,-0.2713,-0.2053,-0.2629,0.8663
2014-05-02 00:00:00,625000.0,4.0,2.5,2820,8408.0,2.0,0,0,3,2820,0.0,2014,0,17052 4th Ave NE,Shoreline,WA 98155,USA,0,0,0.7672,-0.1763,1.2093,-0.665,-1.4523
2014-05-02 00:00:00,400000.0,4.0,2.5,3630,42884.0,1.5,0,0,3,2300,1330.0,1979,2014,5172-5198 Heather Ave SE,Auburn,WA 98092,USA,35,1,1.6506,0.785,0.5859,2.3063,-0.2762
2014-05-02 00:00:00,604000.0,3.0,2.5,3240,33151.0,2.0,0,2,3,3240,0.0,1995,0,30822 36th Ct SW,Federal Way,WA 98023,USA,19,0,1.2252,0.5136,1.7129,-0.665,-0.8138
2014-05-02 00:00:00,440000.0,2.0,1.0,800,4850.0,1.0,0,0,4,800,0.0,1944,0,4801-4899 6th Ave NW,Seattle,WA 98107,USA,70,0,-1.436,-0.2755,-1.2124,-0.665,0.8999
2014-05-02 00:00:00,287200.0,3.0,3.0,1850,19966.0,1.0,0,0,4,1090,760.0,1992,0,23017 SE 281st Ct,Maple Valley,WA 98038,USA,22,0,-0.2908,0.146,-0.8647,1.0329,-0.713
2014-05-02 00:00:00,403000.0,3.0,2.0,1960,13100.0,1.0,0,2,5,1650,310.0,1957,0,17825 4th Ave SW,Normandy Park,WA 98166,USA,57,0,-0.1708,-0.0455,-0.1933,0.0276,0.4631
2014-05-02 00:00:00,750000.0,3.0,2.5,2390,6550.0,1.0,0,2,4,1440,950.0,1955,2009,3628 59th Ave SW,Seattle,WA 98116,USA,59,1,0.2982,-0.2281,-0.4451,1.4573,0.5303
2014-05-02 00:00:00,335000.0,3.0,2.25,1580,16215.0,1.0,0,0,4,1580,0.0,1978,2000,4460 332nd Ave SE,Fall City,WA 98024,USA,36,1,-0.5853,0.0414,-0.2772,-0.665,-0.2426
2014-05-02 00:00:00,260000.0,4.0,2.0,1480,8625.0,1.0,0,0,4,1480,0.0,1974,0,2019 Aberdeen Pl SE,Renton,WA 98055,USA,40,0,-0.6943,-0.1702,-0.3971,-0.665,-0.1082
2014-05-02 00:00:00,308500.0,2.0,1.0,850,6174.0,1.0,0,0,4,850,0.0,1950,1983,121 NE 147th St,Shoreline,WA 98155,USA,64,1,-1.3814,-0.2386,-1.1524,-0.665,0.6983
2014-05-02 00:00:00,439950.0,3.0,2.5,1770,2875.0,2.0,0,0,3,1770,0.0,1990,2009,4458 51st Ave SW,Seattle,WA 98116,USA,24,1,-0.378,-0.3306,-0.0495,-0.665,-0.6458
2014-05-02 00:00:00,235000.0,2.0,1.0,1210,9400.0,1.0,0,0,2,1210,0.0,1949,0,7542 21st Ave SW,Seattle,WA 98106,USA,65,0,-0.9888,-0.1486,-0.7208,-0.665,0.7319
2014-05-02 00:00:00,315000.0,3.0,1.0,1160,9180.0,1.0,0,0,3,1160,0.0,1968,1997,15804 198th Pl NE,Woodinville,WA 98077,USA,46,1,-1.0433,-0.1548,-0.7808,-0.665,0.0935
2014-05-02 00:00:00,437500.0,3.0,2.25,1970,35100.0,2.0,0,0,4,1970,0.0,1977,0,26069 SE 154th St,Issaquah,WA 98027,USA,37,0,-0.1599,0.5679,0.1903,-0.665,-0.209
2014-05-02 00:00:00,407500.0,3.0,2.5,1930,10460.0,2.0,0,0,3,1930,0.0,1996,0,4314 NE 6th Pl,Renton,WA 98059,USA,18,0,-0.2035,-0.1191,0.1424,-0.665,-0.8474
2014-05-02 00:00:00,445700.0,3.0,2.5,1270,1180.0,3.0,0,0,3,1270,0.0,2001,0,2640 NW 56th St,Seattle,WA 98107,USA,13,0,-0.9234,-0.3778,-0.6489,-0.665,-1.0154
